parameter,radius,thickness,pressure,all,all_const_mass
52,130.331165578292,51.9999999999997,74.8728449032922,75.2646716395425,14.7631198344742
53,133.355248041135,53,76.4099500751144,76.8105729520078,15.0098241927449
54,136.398731942148,53.9999999999997,77.9504151693237,78.3598754764973,15.2554078455841
55,139.461609153097,54.9999999999998,79.4942235768335,79.9125644100362,15.4998826984867
56,142.543871501462,55.9999999999993,81.0413616601591,81.4686251118274,15.7432604005075
57,145.645510770594,56.9999999999998,82.5918158976715,83.0280430884553,15.9855524182334
58,148.766518699871,57.9999999999999,84.1455712361221,84.5908040047408,16.2267701361821
59,151.906886984852,58.9999999999996,85.7026133846806,86.1568936851736,16.4669245966913
60,155.066607277434,59.9999999999994,87.2629305085704,87.7262980995343,16.7060267248678
61,158.245671186011,60.9999999999998,88.8265075054692,89.2990033707537,16.9440873262533
62,161.444070275629,61.9999999999998,90.3933301407704,90.8749957413895,17.1811168938891
63,164.661796068148,62.9999999999996,91.9633861753644,92.4542616266169,17.417125828163
64,167.898840042395,63.9999999999996,93.536662911272,94.0367875701567,17.6521243747872
65,171.155193634331,64.9999999999997,95.1131455681484,95.6225602421108,17.886122591331
66,174.430848237202,65.9999999999997,96.6928217254846,97.2115664542484,18.1191303753228
67,177.72579520171,66.9999999999996,98.2756791521173,98.8037931595538,18.3511574494241
68,181.040025836163,67.9999999999994,99.8617043224637,100.399227443867,18.582213361291
69,184.373531406644,68.9999999999997,101.450885289582,101.997856500776,18.812307588342
70,187.72630313717,69.9999999999991,103.043209466417,103.599667685757,19.0414494084821
71,191.098332209856,70.9999999999998,104.638664986604,105.204648421255,19.2696479452172
72,194.489609765073,71.9999999999999,106.237238159488,106.81278631462,19.4969122090217
73,197.900126901621,72.9999999999992,107.838918349577,108.424069059146,19.7232510428903
74,201.329874676879,73.9999999999995,109.443693176902,110.03848448627,19.9486731635967
75,204.778844106987,74.9999999999995,111.051549943929,111.656020515761,20.1731871558018
76,208.247026166991,75.9999999999993,112.662477360134,113.276665214146,20.3968014948255
77,211.734411791026,76.9999999999994,114.276463945065,114.90040674375,20.6195245047849
78,215.240991872469,77.9999999999999,115.893498414727,116.527233388314,20.8413643778671
79,218.766757264112,78.9999999999998,117.513569277931,118.157133527601,21.0623292120609
80,222.311698778327,79.9999999999994,119.136663796019,119.790095655663,21.2824269653675
81,225.87580718723,80.9999999999995,120.762773228161,121.426108393725,21.5016654603283
82,229.459073222851,81.9999999999997,122.391885679202,123.06516045216,21.7200524697038
83,233.061487577305,82.9999999999998,124.023988066031,124.707240611463,21.9375955706192
84,236.683040902951,83.9999999999992,125.65907136962,126.352337831555,22.154302299534
85,240.323723812571,84.9999999999992,127.297125049567,128.000441097453,22.3701800517612
86,243.983526879531,85.9999999999997,128.938137737083,129.651539545731,22.5852360798575
87,247.662440637955,86.9999999999992,130.582098529554,131.305622385407,22.799477619601
88,251.360455582891,87.9999999999996,132.2289970769,132.962678910192,23.0129117386947
89,255.077562170486,88.9999999999993,133.878822413247,134.62269855116,23.2255454129636
90,258.813750818151,89.9999999999997,135.531564910373,136.285670787634,23.4373855658185
91,262.569011904735,90.9999999999996,137.187214665952,137.951585217218,23.6484389314748
92,266.343335770695,91.9999999999996,138.845761884032,139.620431517383,23.8587122550048
93,270.136712718269,92.9999999999994,140.507196250672,141.292199477924,24.0682121215646
94,273.949133011645,93.9999999999995,142.171506006604,142.966878952504,24.2769450412974
95,277.780586877135,94.9999999999996,143.838681700249,144.644459874893,24.4849174764298
96,281.631064503348,95.9999999999992,145.508714076212,146.32493230515,24.6921357072302
97,285.500556041362,96.9999999999997,147.181595482608,148.00828634851,24.898606025721
98,289.389051604892,97.9999999999996,148.857312445629,149.694512208862,25.1043345899302
99,293.296541270476,98.9999999999993,150.53585836915,151.383600191562,25.3093274599946
100,297.223015077635,99.9999999999993,152.217223171381,153.075540627518,25.5135906759925

